
timestamp,Fruges Wind Speed [100 m],Fruges Wind Direction [100 m]
20190128T1400,9.7652445,325.008
20190128T1500,9.0,323.13013
20190128T1600,8.745856,321.03326
20190128T1700,7.990619,314.49298
20190128T1800,6.96563,309.17365
20190128T1900,6.780118,307.20795
20190128T2000,6.780118,307.20795
20190128T2100,6.466065,309.35175
20190128T2200,6.300793,305.9605
20190128T2300,6.2128897,303.17853
20190129T0000,5.990826,303.4248
20190129T0100,5.6302752,303.40784
20190129T0200,4.356604,301.866
20190129T0300,3.275668,282.33908
20190129T0400,3.1953092,249.86371
20190129T0500,4.1773195,227.91084
20190129T0600,5.3413477,218.15723
20190129T0700,6.0,216.8699
20190129T0800,6.3134775,209.4072
20190129T0900,6.6407833,198.43495
20190129T1000,6.987131,189.05789
20190129T1100,7.0,180.0
20190129T1200,6.7,180.0
20190129T1300,6.000833,179.04517
20190129T1400,7.100704,179.19307
20190129T1500,7.81025,177.06433
20190129T1600,7.808969,170.41705
20190129T1700,8.005623,159.52771
20190129T1800,8.149233,150.60394
20190129T1900,8.246211,140.90614
20190129T2000,8.13941,137.48955
20190129T2100,7.8492036,135.51616
20190129T2200,7.35527,133.89828
20190129T2300,6.236986,131.0995
20190130T0000,5.1429563,116.56505
20190130T0100,4.9193497,116.56505
20190130T0200,3.7161808,113.80594
20190130T0300,2.3086793,94.96974
20190130T0400,0.5830952,30.963745
20190130T0500,2.607681,302.4712
20190130T0600,6.466065,309.35175
20190130T0700,9.055386,316.78992
20190130T0800,9.411164,317.15295
20190130T0900,8.987213,312.74542
20190130T1000,8.381527,305.7761
20190130T1100,7.2401657,302.5926
20190130T1200,6.8410525,307.875
20190130T1300,5.5226803,301.67548
20190130T1400,4.976947,292.44275
20190130T1500,5.3600373,284.03625
20190130T1600,4.570558,280.0806
20190130T1700,4.119466,264.4278
20190130T1800,3.0870697,245.09525
20190130T1900,3.3241541,226.21889
20190130T2000,3.753665,228.2397
20190130T2100,3.4481878,253.1416
20190130T2200,3.1064448,266.30862
20190130T2300,2.8,270.0
20190131T0000,3.7013512,231.58195
20190131T0100,4.3829217,242.85033
20190131T0200,4.1785164,248.9625
20190131T0300,3.7643058,253.00919
20190131T0400,3.1320918,253.30075
20190131T0500,3.0870697,245.09525
20190131T0600,2.8844411,236.30994
20190131T0700,2.6870058,225.0
20190131T0800,2.3259406,205.46335
20190131T0900,3.1,180.0
20190131T1000,4.753946,165.37912
20190131T1100,4.6957426,153.43495
20190131T1200,5.502726,160.90651
20190131T1300,6.3560996,155.85446
20190131T1400,6.603787,147.99461
20190131T1500,6.519202,138.7314
20190131T1600,7.300685,126.08507
20190131T1700,8.900562,117.42874
20190131T1800,9.176056,110.409874
20190131T1900,9.940322,113.728386
20190131T2000,10.690182,107.41796
20190131T2100,11.377171,100.124664
20190131T2200,11.808895,97.78702
20190131T2300,11.921829,98.19807
20190201T0000,9.222798,99.36018
20190201T0100,8.973851,104.191086
20190201T0200,8.1154175,112.45693
20190201T0300,7.045566,124.592285
20190201T0400,6.4350605,147.05078
20190201T0500,7.7058415,177.76883
20190201T0600,9.25743,190.58163
20190201T0700,8.367796,194.53445
20190201T0800,7.5504966,191.45876
20190201T0900,7.3824115,188.56914
20190201T1000,7.025667,184.8991
20190201T1100,6.307139,182.72632
20190201T1200,5.0159745,175.42609
20190201T1300,5.400926,178.93909
20190201T1400,6.1,180.0
20190201T1500,4.7,180.0
20190201T1600,3.4885528,152.70042
20190201T1700,5.325411,145.71312
20190201T1800,2.5,143.1301
20190201T1900,1.5132746,82.40536
20190201T2000,2.9614186,78.31063
20190201T2100,3.8013155,63.43495
20190201T2200,4.4777226,60.57254
20190201T2300,4.9406476,54.05787
20190202T0000,5.517246,46.468796
20190202T0100,5.60803,31.138962
20190202T0200,5.8821764,17.818878
20190202T0300,5.846366,12.847687
20190202T0400,6.20967,14.931412
20190202T0500,7.1168814,17.161926
20190202T0600,7.788453,15.642242
20190202T0700,7.5504966,11.4587555
20190202T0800,7.1112585,3.2245178
20190202T0900,7.4242845,355.36456
20190202T1000,7.884795,344.55368
20190202T1100,8.228001,339.36246
20190202T1200,8.5615425,337.32867
20190202T1300,9.916148,338.0913
20190202T1400,10.826819,338.8865
20190202T1500,9.43663,332.89188
20190202T1600,9.552486,329.1391
20190202T1700,10.742439,331.049
20190202T1800,10.793516,336.52258
20190202T1900,10.269372,337.68054
20190202T2000,10.231813,338.1986
20190202T2100,9.76934,337.10944
20190202T2200,9.848858,336.03754
20190202T2300,9.716995,336.33685
20190203T0000,8.300602,338.07043
20190203T0100,8.784646,337.2296
20190203T0200,8.672947,339.05737
